,DATE,Home Index,Disposable income,population,Share Market,construction cost,Unemployment Rate,Year,Month,Interest Rate,Mortgage Rate
0,2002-01-01,117.144,10514.7,286739.0,10639.072857142855,858654.0,8182,2002,1,1.7296774193548388,6.9975
1,2002-02-01,117.845,10531.6,286935.0,10284.67947368421,862338.0,8215,2002,2,1.739642857142857,6.8925
2,2002-03-01,118.687,10539.0,287131.0,10800.004,844551.0,8304,2002,3,1.73,7.014
3,2002-04-01,119.611,10574.2,287343.0,10500.87,858240.0,8599,2002,4,1.753,6.985
4,2002-05-01,120.724,10616.5,287571.0,10232.527272727271,850935.0,8399,2002,5,1.751290322580645,6.806
5,2002-06-01,121.813,10648.2,287808.0,9606.968,846777.0,8393,2002,6,1.7503333333333333,6.65
6,2002-07-01,122.888,10621.0,288051.0,8558.217272727272,847129.0,8390,2002,7,1.729032258064516,6.485
7,2002-08-01,123.83,10623.0,288303.0,8618.94,839008.0,8304,2002,8,1.7432258064516128,6.29
8,2002-09-01,124.78,10633.6,288554.0,8232.3095,832134.0,8251,2002,9,1.7506666666666666,6.0925
9,2002-10-01,125.735,10661.8,288794.0,8063.230434782608,839690.0,8307,2002,10,1.7548387096774194,6.1125
10,2002-11-01,126.67,10690.9,289012.0,8586.801,844697.0,8520,2002,11,1.336,6.068
11,2002-12-01,127.624,10719.9,289214.0,8511.96380952381,855921.0,8640,2002,12,1.2383870967741935,6.0475
12,2003-01-01,128.461,10710.4,289412.0,8477.131428571427,863855.0,8520,2003,1,1.2351612903225806,5.916
13,2003-02-01,129.355,10674.0,289606.0,7941.792105263158,859225.0,8618,2003,2,1.262142857142857,5.8425
14,2003-03-01,130.148,10696.5,289809.0,8022.38380952381,851132.0,8588,2003,3,1.2529032258064516,5.745
15,2003-04-01,130.884,10752.7,290024.0,8434.214761904763,859459.0,8842,2003,4,1.258,5.8125
16,2003-05-01,131.735,10832.0,290250.0,8920.10380952381,866814.0,8957,2003,5,1.2590322580645161,5.484
17,2003-06-01,132.649,10860.6,290484.0,9448.118571428573,880865.0,9266,2003,6,1.2226666666666668,5.23
18,2003-07-01,133.77700000000002,10991.1,290726.0,9550.665909090909,891264.0,9011,2003,7,1.011290322580645,5.6325
19,2003-08-01,134.969,11066.7,290974.0,9548.194761904762,901839.0,8896,2003,8,1.0290322580645161,6.264
20,2003-09-01,136.29399999999998,10940.8,291222.0,9885.39,911589.0,8921,2003,9,1.01,6.1475
21,2003-10-01,137.531,10982.3,291463.0,10091.688260869563,925732.0,8732,2003,10,1.01,5.952
22,2003-11-01,138.79399999999998,11048.4,291677.0,10243.912105263156,925985.0,8576,2003,11,0.996,5.9325
23,2003-12-01,140.179,11057.2,291868.0,10520.594090909091,948491.0,8317,2003,12,0.9841935483870968,5.876
24,2004-01-01,141.64600000000002,11051.2,292046.0,11040.6295,938525.0,8370,2004,1,0.9970967741935484,5.7125
25,2004-02-01,143.192,11071.0,292230.0,11139.734736842103,937813.0,8167,2004,2,1.0072413793103447,5.635
26,2004-03-01,145.059,11115.6,292434.0,10988.350434782607,961159.0,8491,2004,3,1.0016129032258065,5.445
27,2004-04-01,146.593,11153.3,292651.0,11084.012857142856,967602.0,8170,2004,4,1.004,5.83
28,2004-05-01,148.186,11208.9,292872.0,10730.964,974381.0,8212,2004,5,1.004516129032258,6.27
29,2004-06-01,149.85,11215.8,293103.0,11032.586666666668,983087.0,8286,2004,6,1.0256666666666667,6.2875
30,2004-07-01,151.338,11240.5,293350.0,10774.561904761904,1006184.0,8136,2004,7,1.2635483870967743,6.056
31,2004-08-01,152.63299999999998,11274.6,293603.0,10572.118636363635,1013616.0,7990,2004,8,1.4293548387096775,5.8675
32,2004-09-01,154.179,11279.6,293857.0,10896.614285714286,1012080.0,7927,2004,9,1.605,5.754
33,2004-10-01,155.75,11282.5,294104.0,10937.160952380951,1015719.0,8061,2004,10,1.7609677419354839,5.7225
34,2004-11-01,157.52700000000002,11246.1,294337.0,11453.666666666668,1022994.0,7932,2004,11,1.932,5.73
35,2004-12-01,159.33,11659.0,294561.0,11801.183181818182,1037480.0,7934,2004,12,2.1561290322580646,5.752
36,2005-01-01,161.28799999999998,11226.5,294768.0,11605.0885,1046082.0,7784,2005,1,2.2793548387096774,5.71
37,2005-02-01,163.344,11229.0,294955.0,11813.597894736842,1066848.0,7980,2005,2,2.5017857142857145,5.6275
38,2005-03-01,165.812,11268.8,295149.0,11775.96,1071745.0,7737,2005,3,2.629032258064516,5.928
39,2005-04-01,167.50099999999998,11304.2,295359.0,11469.25238095238,1081012.0,7672,2005,4,2.785,5.855
40,2005-05-01,169.351,11352.7,295582.0,11609.289523809524,1093341.0,7651,2005,5,3.00258064516129,5.72
41,2005-06-01,171.19,11375.5,295824.0,11919.220909090907,1105896.0,7524,2005,6,3.0356666666666667,5.582
42,2005-07-01,172.86,11387.1,296077.0,12190.8285,1119101.0,7406,2005,7,3.2625806451612904,5.695
43,2005-08-01,174.442,11405.3,296338.0,12210.20695652174,1129163.0,7345,2005,8,3.4996774193548386,5.82
44,2005-09-01,176.438,11365.2,296606.0,12244.47,1148438.0,7553,2005,9,3.623,5.774
45,2005-10-01,178.028,11428.7,296857.0,11890.218095238097,1160831.0,7453,2005,10,3.7793548387096774,6.065
46,2005-11-01,179.68,11500.1,297089.0,12362.238571428572,1172090.0,7566,2005,11,3.999,6.33
47,2005-12-01,180.91,11535.2,297311.0,12626.63,1184677.0,7279,2005,12,4.1570967741935485,6.272
48,2006-01-01,182.321,11651.8,297526.0,12856.2905,1195642.0,7064,2006,1,4.285161290322581,6.145
49,2006-02-01,183.287,11702.8,297734.0,12859.933684210526,1205639.0,7184,2006,2,4.491428571428571,6.2525
50,2006-03-01,184.364,11747.5,297950.0,13036.527391304347,1205169.0,7072,2006,3,4.589354838709677,6.324
51,2006-04-01,184.329,11744.4,298170.0,13172.266315789475,1193296.0,7120,2006,4,4.790333333333333,6.5075
52,2006-05-01,184.156,11736.8,298401.0,13025.561818181817,1180581.0,6980,2006,5,4.940322580645161,6.5975
53,2006-06-01,183.507,11751.9,298653.0,12597.842727272728,1172128.0,7001,2006,6,4.991,6.682
54,2006-07-01,183.068,11746.9,298910.0,12641.689,1157926.0,7175,2006,7,5.235161290322581,6.7625
55,2006-08-01,182.594,11737.0,299178.0,12860.094782608696,1145907.0,7091,2006,8,5.2464516129032255,6.524
56,2006-09-01,182.798,11800.1,299452.0,13165.06,1135753.0,6847,2006,9,5.254666666666667,6.4025
57,2006-10-01,183.198,11853.7,299710.0,13628.524090909092,1122914.0,6727,2006,10,5.245161290322581,6.3575
58,2006-11-01,183.609,11901.9,299950.0,13920.99380952381,1121749.0,6872,2006,11,5.245666666666667,6.24
59,2006-12-01,184.139,11958.6,300178.0,14213.7325,1135406.0,6762,2006,12,5.2380645161290325,6.135
60,2007-01-01,184.517,11956.6,300398.0,14293.094,1137917.0,7116,2007,1,5.248387096774193,6.2175
61,2007-02-01,184.598,11996.0,300608.0,14573.345789473684,1139032.0,6927,2007,2,5.258928571428571,6.285
62,2007-03-01,184.15,12035.1,300823.0,14199.505909090907,1146624.0,6731,2007,3,5.256774193548387,6.156
63,2007-04-01,183.01,12052.8,301045.0,14771.3355,1150590.0,6850,2007,4,5.249666666666666,6.18
64,2007-05-01,181.6,12059.9,301278.0,15204.312272727271,1161581.0,6766,2007,5,5.2535483870967745,6.262
65,2007-06-01,180.254,12053.3,301528.0,15265.232857142855,1163511.0,6979,2007,6,5.254,6.6575
66,2007-07-01,179.111,12066.4,301790.0,15321.330476190476,1155448.0,7149,2007,7,5.258387096774194,6.695
67,2007-08-01,178.116,12070.9,302064.0,14599.317391304348,1159077.0,7067,2007,8,5.022258064516129,6.572
68,2007-09-01,177.558,12089.6,302334.0,15023.729473684212,1158580.0,7170,2007,9,4.938,6.3825
69,2007-10-01,176.62400000000002,12080.4,302590.0,15490.909565217393,1152491.0,7237,2007,10,4.755483870967742,6.375
70,2007-11-01,175.14700000000002,12070.1,302834.0,14714.020952380952,1132908.0,7240,2007,11,4.486666666666666,6.208
71,2007-12-01,174.342,12120.5,303062.0,14857.3925,1115141.0,7645,2007,12,4.244516129032258,6.095
72,2008-01-01,173.132,12137.1,303280.0,13811.948571428573,1111347.0,7685,2008,1,3.9403225806451614,5.758
73,2008-02-01,171.541,12141.8,303494.0,13645.7895,1096648.0,7497,2008,2,2.980689655172414,5.9175
74,2008-03-01,170.053,12145.9,303707.0,13217.004,1103446.0,7822,2008,3,2.6103225806451613,5.97
75,2008-04-01,168.338,12100.8,303926.0,13769.449090909093,1101252.0,7637,2008,4,2.2783333333333333,5.9175
76,2008-05-01,166.65900000000002,12696.2,304157.0,14146.891428571427,1101547.0,8395,2008,5,1.9783870967741934,6.036
77,2008-06-01,165.017,12376.6,304396.0,13641.354761904762,1090098.0,8575,2008,6,2.001,6.32
78,2008-07-01,163.566,12188.7,304646.0,12761.150454545455,1086952.0,8937,2008,7,2.009677419354839,6.426
79,2008-08-01,161.987,12120.6,304903.0,13024.891904761904,1070075.0,9438,2008,8,1.9964516129032257,6.4775
80,2008-09-01,160.308,12149.0,305158.0,12373.775238095239,1059579.0,9494,2008,9,1.8116666666666668,6.0375
81,2008-10-01,158.327,12240.5,305403.0,9739.612173913043,1055959.0,10074,2008,10,0.9693548387096774,6.2
82,2008-11-01,156.142,12345.9,305620.0,8805.89842105263,1035033.0,10538,2008,11,0.38766666666666666,6.0875
83,2008-12-01,153.619,12288.8,305827.0,8752.531363636363,999139.0,11286,2008,12,0.15516129032258064,5.286
84,2009-01-01,151.507,12361.5,306035.0,8699.811,975099.0,12058,2009,1,0.15419354838709678,5.0475
85,2009-02-01,150.015,12241.9,306237.0,8107.50842105263,971708.0,12898,2009,2,0.22214285714285714,5.13
86,2009-03-01,148.66,12242.7,306438.0,7621.979545454546,963793.0,13426,2009,3,0.18064516129032257,5.0025
87,2009-04-01,147.94899999999998,12320.0,306645.0,8586.514285714286,932482.0,13853,2009,4,0.15033333333333335,4.81
88,2009-05-01,147.694,12500.1,306863.0,9148.8315,920020.0,14499,2009,5,0.1774193548387097,4.8575
89,2009-06-01,148.09,12273.2,307090.0,9405.915909090909,912530.0,14707,2009,6,0.20633333333333334,5.42
90,2009-07-01,148.41,12218.7,307322.0,9518.542727272728,911438.0,14601,2009,7,0.1558064516129032,5.222
91,2009-08-01,148.278,12194.8,307570.0,10305.851428571428,900112.0,14814,2009,8,0.16032258064516128,5.1925
92,2009-09-01,148.025,12230.6,307826.0,10689.028095238096,887241.0,15009,2009,9,0.14666666666666667,5.0575
93,2009-10-01,147.85,12193.2,308071.0,10920.575454545457,871391.0,15352,2009,10,0.11806451612903225,4.952
94,2009-11-01,148.134,12224.4,308289.0,11081.2195,858493.0,15219,2009,11,0.119,4.875
95,2009-12-01,147.929,12280.2,308495.0,11343.635,842609.0,15098,2009,12,0.11806451612903225,4.93
96,2010-01-01,147.39600000000002,12285.8,308706.0,11516.243684210525,822114.0,15046,2010,1,0.11,5.03
97,2010-02-01,145.631,12292.0,308904.0,11182.900526315789,814885.0,15113,2010,2,0.12642857142857142,4.99
98,2010-03-01,145.859,12340.3,309095.0,11879.693913043478,821849.0,15202,2010,3,0.16451612903225807,4.9675
99,2010-04-01,146.403,12447.1,309289.0,12382.201904761903,829664.0,15325,2010,4,0.19833333333333333,5.098
100,2010-05-01,146.394,12540.3,309485.0,11643.4355,823447.0,14849,2010,5,0.2006451612903226,4.8875
101,2010-06-01,145.721,12544.3,309691.0,11204.765,821943.0,14474,2010,6,0.17666666666666667,4.7375
102,2010-07-01,144.991,12554.2,309913.0,11137.187142857145,799694.0,14512,2010,7,0.18258064516129033,4.564
103,2010-08-01,143.916,12591.4,310146.0,11206.584090909091,802030.0,14648,2010,8,0.18935483870967743,4.4275
104,2010-09-01,143.019,12589.9,310385.0,11587.08619047619,807728.0,14579,2010,9,0.19466666666666665,4.346
105,2010-10-01,142.531,12592.5,310612.0,12128.603333333333,801372.0,14516,2010,10,0.19129032258064516,4.225
106,2010-11-01,142.173,12605.1,310820.0,12450.262857142856,804151.0,15081,2010,11,0.19433333333333333,4.3
107,2010-12-01,142.06,12680.6,311020.0,12944.748636363636,789395.0,14348,2010,12,0.1832258064516129,4.714
108,2011-01-01,141.52100000000002,12740.1,311204.0,13368.1435,759964.0,14013,2011,1,0.16838709677419356,4.755
109,2011-02-01,140.35,12776.6,311373.0,13772.265789473684,758376.0,13820,2011,2,0.15678571428571428,4.9525
110,2011-03-01,139.981,12742.7,311551.0,13610.845652173912,769157.0,13737,2011,3,0.13870967741935483,4.836
111,2011-04-01,140.01,12721.3,311740.0,13920.5005,769437.0,13957,2011,4,0.098,4.84
112,2011-05-01,139.905,12705.3,311935.0,13967.826666666668,775251.0,13855,2011,5,0.09387096774193548,4.6375
113,2011-06-01,139.862,12756.9,312147.0,13434.498181818182,794839.0,13962,2011,6,0.092,4.51
114,2011-07-01,139.73,12805.6,312372.0,13848.152,792381.0,13763,2011,7,0.07096774193548387,4.545
115,2011-08-01,139.309,12799.7,312605.0,12296.037826086957,811953.0,13818,2011,8,0.09580645161290323,4.27
116,2011-09-01,138.668,12781.7,312842.0,12144.129047619048,813660.0,13948,2011,9,0.084,4.106
117,2011-10-01,137.952,12791.9,313060.0,12459.478571428572,808378.0,13594,2011,10,0.07064516129032258,4.0675
118,2011-11-01,137.15200000000002,12782.7,313260.0,12684.750952380951,812050.0,13302,2011,11,0.081,3.9925
119,2011-12-01,136.674,12898.5,313454.0,12850.309047619048,821367.0,13093,2011,12,0.07161290322580645,3.958
120,2012-01-01,136.607,12967.5,313636.0,13465.231,830610.0,12797,2012,1,0.08193548387096775,3.915
121,2012-02-01,136.533,13029.6,313811.0,14058.3455,824368.0,12813,2012,2,0.10379310344827586,3.89
122,2012-03-01,137.904,13066.4,313993.0,14396.526363636363,829288.0,12713,2012,3,0.1267741935483871,3.954
123,2012-04-01,139.154,13116.5,314176.0,14339.5995,841740.0,12646,2012,4,0.13933333333333334,3.91
124,2012-05-01,140.155,13112.5,314368.0,13862.965909090908,850928.0,12660,2012,5,0.1558064516129032,3.798
125,2012-06-01,141.03,13097.2,314576.0,13642.344285714285,858009.0,12692,2012,6,0.16166666666666665,3.675
126,2012-07-01,141.66899999999998,12999.8,314796.0,14023.289523809524,858934.0,12656,2012,7,0.15645161290322582,3.55
127,2012-08-01,142.279,12961.6,315031.0,14434.10347826087,862726.0,12471,2012,8,0.13225806451612904,3.602
128,2012-09-01,142.908,13053.1,315264.0,14884.35,866588.0,12115,2012,9,0.14433333333333334,3.4975
